"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/01/05","01:00","-1.688","-","-1.63"
"2022/01/05","02:00","-1.213","-","-1.06"
"2022/01/05","03:00","-0.142","-","0"
"2022/01/05","04:00","1.238","-","1.24"
"2022/01/05","05:00","2.621","-","2.67"
"2022/01/05","06:00","3.705","-","3.84"
"2022/01/05","07:00","4.26","-","4.37"
"2022/01/05","08:00","4.231","-","4.31"
"2022/01/05","09:00","3.755","-","3.83"
"2022/01/05","10:00","3.07","-","3.18"
"2022/01/05","11:00","2.427","-","2.56"
"2022/01/05","12:00","2.071","-","2.21"
"2022/01/05","13:00","2.192","-","2.33"
"2022/01/05","14:00","2.835","-","2.92"
"2022/01/05","15:00","3.853","-","3.95"
"2022/01/05","16:00","4.99","-","5.11"
"2022/01/05","17:00","5.976","-","6.12"
"2022/01/05","18:00","6.554","-","6.72"
"2022/01/05","19:00","6.511","-","6.71"
"2022/01/05","20:00","5.768","-","5.92"
"2022/01/05","21:00","4.445","-","4.62"
"2022/01/05","22:00","2.803","-","3.07"
"2022/01/05","23:00","1.144","-","1.41"
"2022/01/06","00:00","-0.233","-","0.01"
"2022/01/06","01:00","-1.054","-","-0.77"
"2022/01/06","02:00","-1.157","-","-0.86"
"2022/01/06","03:00","-0.575","-","-0.24"
"2022/01/06","04:00","0.491","-","0.85"
"2022/01/06","05:00","1.777","-","2.07"
"2022/01/06","06:00","3.011","-","3.24"
"2022/01/06","07:00","3.927","-","4.3"
"2022/01/06","08:00","4.339","-","4.76"
"2022/01/06","09:00","4.227","-","4.55"
"2022/01/06","10:00","3.74","-","3.96"
"2022/01/06","11:00","3.094","-","3.35"
"2022/01/06","12:00","2.507","-","2.77"
"2022/01/06","13:00","2.192","-","2.43"
"2022/01/06","14:00","2.308","-","2.56"
"2022/01/06","15:00","2.869","-","3.17"
"2022/01/06","16:00","3.727","-","4.04"
"2022/01/06","17:00","4.657","-","5.04"
"2022/01/06","18:00","5.434","-","5.77"
"2022/01/06","19:00","5.844","-","6.2"
"2022/01/06","20:00","5.715","-","6.02"
"2022/01/06","21:00","5.001","-","5.24"
"2022/01/06","22:00","3.832","-","4.08"
"2022/01/06","23:00","2.444","-","2.77"
"2022/01/07","00:00","1.09","-","1.43"
"2022/01/07","01:00","0.018","-","0.4"
"2022/01/07","02:00","-0.546","-","-0.15"
"2022/01/07","03:00","-0.484","-","-0.09"
"2022/01/07","04:00","0.145","-","0.54"
"2022/01/07","05:00","1.15","-","1.53"
"2022/01/07","06:00","2.303","-","2.69"
"2022/01/07","07:00","3.373","-","3.77"
"2022/01/07","08:00","4.133","-","4.57"
"2022/01/07","09:00","4.432","-","4.9"
"2022/01/07","10:00","4.276","-","4.66"
"2022/01/07","11:00","3.805","-","4.06"
"2022/01/07","12:00","3.201","-","3.42"
"2022/01/07","13:00","2.646","-","2.98"
"2022/01/07","14:00","2.321","-","2.68"
"2022/01/07","15:00","2.361","-","2.65"
"2022/01/07","16:00","2.769","-","3.07"
"2022/01/07","17:00","3.413","-","3.85"
"2022/01/07","18:00","4.113","-","4.64"
"2022/01/07","19:00","4.695","-","5.08"
"2022/01/07","20:00","4.988","-","5.33"
"2022/01/07","21:00","4.849","-","5.14"
"2022/01/07","22:00","4.252","-","4.43"
"2022/01/07","23:00","3.316","-","3.44"
"2022/01/08","00:00","2.235","-","2.41"
"2022/01/08","01:00","1.205","-","1.54"
"2022/01/08","02:00","0.423","-","0.87"
"2022/01/08","03:00","0.076","-","0.5"
"2022/01/08","04:00","0.248","-","0.63"
"2022/01/08","05:00","0.871","-","1.3"
"2022/01/08","06:00","1.78","-","2.19"
"2022/01/08","07:00","2.791","-","3.16"
"2022/01/08","08:00","3.711","-","4.11"
"2022/01/08","09:00","4.345","-","4.68"
"2022/01/08","10:00","4.566","-","4.79"
"2022/01/08","11:00","4.39","-","4.63"
"2022/01/08","12:00","3.936","-","4.26"
"2022/01/08","13:00","3.349","-","3.65"
"2022/01/08","14:00","2.777","-","2.98"
"2022/01/08","15:00","2.381","-","2.66"
"2022/01/08","16:00","2.286","-","2.66"
"2022/01/08","17:00","2.498","-","2.95"
"2022/01/08","18:00","2.916","-","3.34"
"2022/01/08","19:00","3.412","-","3.73"
"2022/01/08","20:00","3.858","-","4.14"
"2022/01/08","21:00","4.11","-","4.36"
"2022/01/08","22:00","4.042","-","4.22"
"2022/01/08","23:00","3.631","-","3.79"
"2022/01/09","00:00","2.969","-","3.13"
"2022/01/09","01:00","2.2","-","2.34"
"2022/01/09","02:00","1.464","-","1.68"
"2022/01/09","03:00","0.922","-","1.18"
"2022/01/09","04:00","0.731","-","0.96"
"2022/01/09","05:00","0.959","-","1.25"
"2022/01/09","06:00","1.543","-","1.79"
"2022/01/09","07:00","2.35","-","2.57"
"2022/01/09","08:00","3.236","-","3.48"
"2022/01/09","09:00","4.039","-","4.29"
"2022/01/09","10:00","4.58","-","4.82"
"2022/01/09","11:00","4.746","-","4.87"
"2022/01/09","12:00","4.55","-","4.7"
"2022/01/09","13:00","4.087","-","4.26"
"2022/01/09","14:00","3.466","-","3.57"
"2022/01/09","15:00","2.817","-","2.94"
"2022/01/09","16:00","2.298","-","2.59"
"2022/01/09","17:00","2.037","-","2.37"
"2022/01/09","18:00","2.055","-","2.29"
"2022/01/09","19:00","2.288","-","2.51"
"2022/01/09","20:00","2.65","-","2.84"
"2022/01/09","21:00","3.046","-","3.2"
"2022/01/09","22:00","3.343","-","3.38"
"2022/01/09","23:00","3.413","-","3.48"
"2022/01/10","00:00","3.22","-","3.32"
"2022/01/10","01:00","2.826","-","2.94"
"2022/01/10","02:00","2.323","-","2.45"
"2022/01/10","03:00","1.815","-","1.88"
"2022/01/10","04:00","1.439","-","1.58"
"2022/01/10","05:00","1.342","-","1.52"
"2022/01/10","06:00","1.586","-","1.74"
"2022/01/10","07:00","2.123","-","2.2"
"2022/01/10","08:00","2.848","-","2.95"
"2022/01/10","09:00","3.648","-","3.71"
"2022/01/10","10:00","4.372","-","4.44"
"2022/01/10","11:00","4.845","-","4.89"
"2022/01/10","12:00","4.957","-","5"
"2022/01/10","13:00","4.714","-","4.77"
"2022/01/10","14:00","4.189","-","4.27"
"2022/01/10","15:00","3.474","-","3.62"
"2022/01/10","16:00","2.698","-","2.93"
"2022/01/10","17:00","2.031","-","2.34"
"2022/01/10","18:00","1.614","-","1.93"
"2022/01/10","19:00","1.488","-","1.8"
"2022/01/10","20:00","1.617","-","2.02"
"2022/01/10","21:00","1.947","-","2.22"
"2022/01/10","22:00","2.388","-","2.55"
"2022/01/10","23:00","2.799","-","3.01"
"2022/01/11","00:00","3.038","-","3.25"
"2022/01/11","01:00","3.05","-","3.23"
"2022/01/11","02:00","2.869","-","3.02"
"2022/01/11","03:00","2.551","-","2.67"
"2022/01/11","04:00","2.181","-","2.37"
"2022/01/11","05:00","1.896","-","2.15"
"2022/01/11","06:00","1.845","-","2.03"
"2022/01/11","07:00","2.092","-","2.34"
"2022/01/11","08:00","2.6","-","2.84"
"2022/01/11","09:00","3.286","-","3.49"
"2022/01/11","10:00","4.044","-","4.27"
"2022/01/11","11:00","4.719","-","4.95"
"2022/01/11","12:00","5.129","-","5.28"
"2022/01/11","13:00","5.164","-","5.28"
"2022/01/11","14:00","4.825","-","5.05"
"2022/01/11","15:00","4.178","-","4.43"
"2022/01/11","16:00","3.317","-","3.57"
"2022/01/11","17:00","2.387","-","2.73"
"2022/01/11","18:00","1.584","-","2.01"
"2022/01/11","19:00","1.065","-","1.5"
"2022/01/11","20:00","0.883","-","1.3"
"2022/01/11","21:00","1.017","-","1.41"
"2022/01/11","22:00","1.417","-","1.81"
"2022/01/11","23:00","1.982","-","2.31"
"2022/01/12","00:00","2.54","-","2.83"
"2022/01/12","01:00","2.933","-","3.29"
"2022/01/12","02:00","3.092","-","3.48"
"2022/01/12","03:00","3.032","-","3.29"
"2022/01/12","04:00","2.798","-","3"
"2022/01/12","05:00","2.479","-","2.74"
"2022/01/12","06:00","2.228","-","2.5"
"2022/01/12","07:00","2.203","-","2.47"
"2022/01/12","08:00","2.469","-","2.73"
"2022/01/12","09:00","2.991","-","3.29"
"2022/01/12","10:00","3.688","-","3.95"
"2022/01/12","11:00","4.444","-","4.55"
"2022/01/12","12:00","5.082","-","5.19"
"2022/01/12","13:00","5.41","-","5.52"
"2022/01/12","14:00","5.323","-","5.44"
"2022/01/12","15:00","4.83","-","4.95"
"2022/01/12","16:00","4.007","-","4.27"
"2022/01/12","17:00","2.968","-","3.33"
"2022/01/12","18:00","1.894","-","2.35"
"2022/01/12","19:00","1.009","-","1.46"
"2022/01/12","20:00","0.476","-","0.91"
"2022/01/12","21:00","0.345","-","0.77"
"2022/01/12","22:00","0.591","-","0.98"
"2022/01/12","23:00","1.146","-","1.52"
"2022/01/13","00:00","1.87","-","2.2"
"2022/01/13","01:00","2.563","-","2.9"
"2022/01/13","02:00","3.051","-","3.41"
"2022/01/13","03:00","3.265","-","3.62"
"2022/01/13","04:00","3.221","-","3.56"
"2022/01/13","05:00","2.976","-","3.24"
"2022/01/13","06:00","2.644","-","2.95"
"2022/01/13","07:00","2.405","-","2.71"
"2022/01/13","08:00","2.422","-","2.78"
"2022/01/13","09:00","2.749","-","3.02"
"2022/01/13","10:00","3.338","-","3.53"
"2022/01/13","11:00","4.09","-","4.25"
"2022/01/13","12:00","4.862","-","5"
"2022/01/13","13:00","5.449","-","5.51"
"2022/01/13","14:00","5.654","-","5.72"
"2022/01/13","15:00","5.388","-","5.52"
"2022/01/13","16:00","4.687","-","4.87"
"2022/01/13","17:00","3.654","-","3.96"
"2022/01/13","18:00","2.442","-","2.87"
"2022/01/13","19:00","1.273","-","1.66"
"2022/01/13","20:00","0.389","-","0.78"
"2022/01/13","21:00","-0.053","-","0.3"
"2022/01/13","22:00","-0.028","-","0.34"
"2022/01/13","23:00","0.413","-","0.76"
"2022/01/14","00:00","1.161","-","1.5"
"2022/01/14","01:00","2.034","-","2.33"
"2022/01/14","02:00","2.804","-","3.09"
"2022/01/14","03:00","3.296","-","3.61"
"2022/01/14","04:00","3.461","-","3.81"
"2022/01/14","05:00","3.34","-","3.65"
"2022/01/14","06:00","3.021","-","3.15"
"2022/01/14","07:00","2.654","-","2.82"
"2022/01/14","08:00","2.444","-","2.73"
"2022/01/14","09:00","2.546","-","2.77"
"2022/01/14","10:00","2.988","-","3.18"
"2022/01/14","11:00","3.69","-","3.92"
"2022/01/14","12:00","4.52","-","4.77"
"2022/01/14","13:00","5.297","-","5.55"
"2022/01/14","14:00","5.793","-","6.08"
"2022/01/14","15:00","5.817","-","6.23"
"2022/01/14","16:00","5.317","-","5.74"
"2022/01/14","17:00","4.372","-","4.77"
"2022/01/14","18:00","3.129","-","3.55"
"2022/01/14","19:00","1.786","-","2.3"
"2022/01/14","20:00","0.602","-","1.08"
"2022/01/14","21:00","-0.179","-","0.21"
"2022/01/14","22:00","-0.432","-","-0.09"
"2022/01/14","23:00","-0.172","-","0.06"
"2022/01/15","00:00","0.502","-","0.74"
"2022/01/15","01:00","1.433","-","1.68"
"2022/01/15","02:00","2.399","-","2.62"
"2022/01/15","03:00","3.155","-","3.41"
"2022/01/15","04:00","3.553","-","3.92"
"2022/01/15","05:00","3.583","-","3.9"
"2022/01/15","06:00","3.327","-","3.56"
"2022/01/15","07:00","2.915","-","3.14"
"2022/01/15","08:00","2.535","-","2.86"
"2022/01/15","09:00","2.403","-","2.82"
"2022/01/15","10:00","2.648","-","3.08"
"2022/01/15","11:00","3.253","-","3.61"
"2022/01/15","12:00","4.09","-","4.41"
"2022/01/15","13:00","4.986","-","5.27"
"2022/01/15","14:00","5.724","-","6"
"2022/01/15","15:00","6.065","-","6.31"
"2022/01/15","16:00","5.849","-","6.07"
"2022/01/15","17:00","5.077","-","5.29"
"2022/01/15","18:00","3.884","-","3.17"
"2022/01/15","19:00","2.468","-","2.75"
"2022/01/15","20:00","1.072","-","1.28"
"2022/01/15","21:00","-0.03","-","-0.39"
"2022/01/15","22:00","-0.61","-","-0.42"
"2022/01/15","23:00","-0.597","-","-0.39"
"2022/01/16","00:00","-0.066","-","-0.23"
"2022/01/16","01:00","0.829","-","1.47"
"2022/01/16","02:00","1.888","-","2.47"
"2022/01/16","03:00","2.857","-","3.35"
"2022/01/16","04:00","3.505","-","4.5"
"2022/01/16","05:00","3.727","-","4.92"
"2022/01/16","06:00","3.571","-","4.16"
"2022/01/16","07:00","3.168","-","3.41"
"2022/01/16","08:00","2.692","-","3"
"2022/01/16","09:00","2.357","-","3"
"2022/01/16","10:00","2.367","-","2.5"
"2022/01/16","11:00","2.805","-","2.91"
"2022/01/16","12:00","3.592","-","3.73"
"2022/01/16","13:00","4.548","-","4.79"
"2022/01/16","14:00","5.46","-","5.56"
"2022/01/16","15:00","6.089","-","5.7"
"2022/01/16","16:00","6.206","-","6.69"
"2022/01/16","17:00","5.703","-","6"
"2022/01/16","18:00","4.651","-","4.7"
"2022/01/16","19:00","3.246","-","3.91"
"2022/01/16","20:00","1.732","-","2.17"
"2022/01/16","21:00","0.38","-","0.47"
"2022/01/16","22:00","-0.536","-","-0.29"
"2022/01/16","23:00","-0.839","-","-0.45"
"2022/01/17","00:00","-0.524","-","-0.47"
"2022/01/17","01:00","0.266","-","0.78"
"2022/01/17","02:00","1.329","-","1.8"
"2022/01/17","03:00","2.427","-","2.71"
"2022/01/17","04:00","3.304","-","3.72"
"2022/01/17","05:00","3.762","-","4.41"
"2022/01/17","06:00","3.762","-","3.89"
"2022/01/17","07:00","3.416","-","3.8"
"2022/01/17","08:00","2.904","-","3.41"
"2022/01/17","09:00","2.428","-","2.79"
"2022/01/17","10:00","2.207","-","2.46"
"2022/01/17","11:00","2.413","-","2.87"
"2022/01/17","12:00","3.064","-","3.42"
"2022/01/17","13:00","4.012","-","4.3"
"2022/01/17","14:00","5.031","-","5.55"
"2022/01/17","15:00","5.881","-","5.96"
"2022/01/17","16:00","6.32","-","6.83"
"2022/01/17","17:00","6.156","-","6.65"
"2022/01/17","18:00","5.351","-","5.58"
"2022/01/17","19:00","4.051","-","4.37"
"2022/01/17","20:00","2.509","-","3.24"
"2022/01/17","21:00","0.999","-","1.63"
"2022/01/17","22:00","-0.202","-","0.46"
"2022/01/17","23:00","-0.849","-","-0.14"
"2022/01/18","00:00","-0.831","-","-0.5"
"2022/01/18","01:00","-0.222","-","0.15"
"2022/01/18","02:00","0.773","-","1.25"
"2022/01/18","03:00","1.917","-","2.11"
"2022/01/18","04:00","2.958","-","3.26"
"2022/01/18","05:00","3.66","-","4"
"2022/01/18","06:00","3.881","-","4.09"
"2022/01/18","07:00","3.658","-","3.92"
"2022/01/18","08:00","3.162","-","3.46"
"2022/01/18","09:00","2.606","-","2.87"
"2022/01/18","10:00","2.205","-","2.54"
"2022/01/18","11:00","2.158","-","2.79"
"2022/01/18","12:00","2.583","-","3.02"
"2022/01/18","13:00","3.423","-","3.71"
"2022/01/18","14:00","4.469","-","4.62"
"2022/01/18","15:00","5.465","-","5.58"
"2022/01/18","16:00","6.163","-","6.29"
"2022/01/18","17:00","6.345","-","6.41"
"2022/01/18","18:00","5.877","-","6.36"
"2022/01/18","19:00","4.798","-","5.1"
"2022/01/18","20:00","3.327","-","3.68"
"2022/01/18","21:00","1.752","-","2.28"
"2022/01/18","22:00","0.358","-","0.93"
"2022/01/18","23:00","-0.597","-","-0.22"
"2022/01/19","00:00","-0.921","-","-0.51"
"2022/01/19","01:00","-0.582","-","-0.1"
"2022/01/19","02:00","0.271","-","0.66"
"2022/01/19","03:00","1.388","-","1.76"
"2022/01/19","04:00","2.515","-","2.83"
"2022/01/19","05:00","3.414","-","3.55"
"2022/01/19","06:00","3.887","-","3.98"
"2022/01/19","07:00","3.866","-","4.33"
"2022/01/19","08:00","3.457","-","3.66"
"2022/01/19","09:00","2.877","-","3.04"
"2022/01/19","10:00","2.352","-","2.73"
"2022/01/19","11:00","2.084","-","2.42"
"2022/01/19","12:00","2.235","-","2.67"
"2022/01/19","13:00","2.855","-","3.31"
"2022/01/19","14:00","3.819","-","3.97"
"2022/01/19","15:00","4.872","-","5.02"
"2022/01/19","16:00","5.749","-","5.96"
"2022/01/19","17:00","6.223","-","6.42"
"2022/01/19","18:00","6.119","-","6.56"
"2022/01/19","19:00","5.37","-","5.48"
"2022/01/19","20:00","4.094","-","4.25"
"2022/01/19","21:00","2.561","-","3.03"
"2022/01/19","22:00","1.075","-","1.49"
"2022/01/19","23:00","-0.1","-","0.28"
"2022/01/20","00:00","-0.744","-","-0.33"
"2022/01/20","01:00","-0.734","-","-0.34"
"2022/01/20","02:00","-0.116","-","0.24"
"2022/01/20","03:00","0.9","-","1.15"
"2022/01/20","04:00","2.042","-","2.19"
"2022/01/20","05:00","3.065","-","3.18"
"2022/01/20","06:00","3.763","-","3.85"
"2022/01/20","07:00","3.995","-","4.01"
"2022/01/20","08:00","3.76","-","3.9"
"2022/01/20","09:00","3.226","-","3.45"
"2022/01/20","10:00","2.632","-","2.79"
"2022/01/20","11:00","2.192","-","2.52"
"2022/01/20","12:00","2.078","-","2.34"
"2022/01/20","13:00","2.403","-","2.68"
"2022/01/20","14:00","3.153","-","3.52"
"2022/01/20","15:00","4.145","-","4.23"
"2022/01/20","16:00","5.109","-","5.01"
"2022/01/20","17:00","5.793","-","5.88"
"2022/01/20","18:00","6.012","-","6.02"
"2022/01/20","19:00","5.643","-","5.72"
"2022/01/20","20:00","4.69","-","4.77"
"2022/01/20","21:00","3.333","-","3.46"
"2022/01/20","22:00","1.866","-","2.14"
"2022/01/20","23:00","0.579","-","0.91"
"2022/01/21","00:00","-0.302","-","0.03"
"2022/01/21","01:00","-0.615","-","-0.43"
"2022/01/21","02:00","-0.304","-","0"
"2022/01/21","03:00","0.518","-","0.79"
"2022/01/21","04:00","1.601","-","1.66"
"2022/01/21","05:00","2.679","-","2.79"
"2022/01/21","06:00","3.537","-","3.73"
"2022/01/21","07:00","4.013","-","4.2"
"2022/01/21","08:00","4.023","-","4.19"
"2022/01/21","09:00","3.628","-","3.83"
"2022/01/21","10:00","3.032","-","3.45"
"2022/01/21","11:00","2.471","-","2.91"
"2022/01/21","12:00","2.131","-","2.53"
"2022/01/21","13:00","2.146","-","2.51"
"2022/01/21","14:00","2.578","-","2.96"
"2022/01/21","15:00","3.362","-","3.76"
"2022/01/21","16:00","4.285","-","4.66"
"2022/01/21","17:00","5.083","-","5.43"
"2022/01/21","18:00","5.546","-","5.89"
"2022/01/21","19:00","5.534","-","5.92"
"2022/01/21","20:00","4.98","-","5.28"
"2022/01/21","21:00","3.942","-","4.29"
"2022/01/21","22:00","2.636","-","3.27"
"2022/01/21","23:00","1.354","-","1.94"
"2022/01/22","00:00","0.345","-","0.92"
"2022/01/22","01:00","-0.215","-","0.47"
"2022/01/22","02:00","-0.223","-","0.39"
"2022/01/22","03:00","0.318","-","0.91"
"2022/01/22","04:00","1.247","-","1.69"
"2022/01/22","05:00","2.308","-","2.64"
"2022/01/22","06:00","3.259","-","3.56"
"2022/01/22","07:00","3.927","-","4.3"
"2022/01/22","08:00","4.196","-","4.62"
"2022/01/22","09:00","4.03","-","4.5"
"2022/01/22","10:00","3.533","-","4.05"
"2022/01/22","11:00","2.918","-","3.49"
"2022/01/22","12:00","2.401","-","2.92"
"2022/01/22","13:00","2.131","-","2.63"
"2022/01/22","14:00","2.204","-","2.8"
"2022/01/22","15:00","2.649","-","3.16"
"2022/01/22","16:00","3.368","-","3.83"
"2022/01/22","17:00","4.146","-","4.58"
"2022/01/22","18:00","4.752","-","5.18"
"2022/01/22","19:00","5.021","-","5.38"
"2022/01/22","20:00","4.86","-","5.28"
"2022/01/22","21:00","4.241","-","4.63"
"2022/01/22","22:00","3.256","-","3.64"
"2022/01/22","23:00","2.125","-","2.6"
"2022/01/23","00:00","1.11","-","1.6"
"2022/01/23","01:00","0.408","-","0.86"
"2022/01/23","02:00","0.141","-","0.6"
"2022/01/23","03:00","0.368","-","0.81"
"2022/01/23","04:00","1.045","-","1.38"
"2022/01/23","05:00","1.991","-","2.24"
"2022/01/23","06:00","2.963","-","3.21"
"2022/01/23","07:00","3.762","-","4.01"
"2022/01/23","08:00","4.256","-","4.49"
"2022/01/23","09:00","4.362","-","4.71"
"2022/01/23","10:00","4.077","-","4.41"
"2022/01/23","11:00","3.521","-","3.81"
"2022/01/23","12:00","2.899","-","3.28"
"2022/01/23","13:00","2.394","-","2.77"
"2022/01/23","14:00","2.122","-","2.45"
"2022/01/23","15:00","2.158","-","2.46"
"2022/01/23","16:00","2.516","-","2.78"
"2022/01/23","17:00","3.095","-","3.27"
"2022/01/23","18:00","3.699","-","3.93"
"2022/01/23","19:00","4.141","-","4.39"
"2022/01/23","20:00","4.3","-","4.47"
"2022/01/23","21:00","4.112","-","4.34"
"2022/01/23","22:00","3.565","-","3.79"
"2022/01/23","23:00","2.755","-","2.97"
"2022/01/24","00:00","1.883","-","2.18"
"2022/01/24","01:00","1.162","-","1.46"
"2022/01/24","02:00","0.737","-","1.02"
"2022/01/24","03:00","0.69","-","0.95"
"2022/01/24","04:00","1.055","-","1.3"
"2022/01/24","05:00","1.772","-","1.94"
"2022/01/24","06:00","2.667","-","2.79"
"2022/01/24","07:00","3.526","-","3.64"
"2022/01/24","08:00","4.191","-","4.42"
"2022/01/24","09:00","4.559","-","4.92"
"2022/01/24","10:00","4.564","-","4.87"
"2022/01/24","11:00","4.208","-","4.45"
"2022/01/24","12:00","3.612","-","3.96"
"2022/01/24","13:00","2.958","-","3.33"
"2022/01/24","14:00","2.397","-","2.66"
"2022/01/24","15:00","2.029","-","2.29"
"2022/01/24","16:00","1.931","-","2.23"
"2022/01/24","17:00","2.126","-","2.47"
"2022/01/24","18:00","2.533","-","2.93"
"2022/01/24","19:00","2.988","-","3.41"
"2022/01/24","20:00","3.345","-","3.69"
"2022/01/24","21:00","3.515","-","3.89"
"2022/01/24","22:00","3.432","-","3.82"
"2022/01/24","23:00","3.075","-","3.47"
"2022/01/25","00:00","2.519","-","3"
"2022/01/25","01:00","1.929","-","2.43"
"2022/01/25","02:00","1.467","-","1.83"
"2022/01/25","03:00","1.238","-","1.59"
"2022/01/25","04:00","1.308","-","1.61"
"2022/01/25","05:00","1.713","-","1.95"
"2022/01/25","06:00","2.399","-","2.6"
"2022/01/25","07:00","3.214","-","3.42"
"2022/01/25","08:00","3.979","-","4.24"
"2022/01/25","09:00","4.566","-","4.92"
"2022/01/25","10:00","4.879","-","5.28"
"2022/01/25","11:00","4.841","-","5.24"
"2022/01/25","12:00","4.446","-","4.87"
"2022/01/25","13:00","3.797","-","4.25"
"2022/01/25","14:00","3.054","-","3.53"
"2022/01/25","15:00","2.351","-","2.79"
"2022/01/25","16:00","1.794","-","2.25"
"2022/01/25","17:00","1.488","-","1.99"
"2022/01/25","18:00","1.489","-","2.06"
"2022/01/25","19:00","1.743","-","2.27"
"2022/01/25","20:00","2.123","-","2.55"
"2022/01/25","21:00","2.509","-","3.04"
"2022/01/25","22:00","2.814","-","3.4"
"2022/01/25","23:00","2.947","-","3.39"
"2022/01/26","00:00","2.85","-","3.26"
"2022/01/26","01:00","2.564","-","3.09"
